City_final,Latitude,Longitude
Crailsheim,49.1365626,10.0720195
Dortmund,51.5142273,7.4652789
Stuttgart,48.7784485,9.1800132
Ottobrunn bei München,48.0730024,11.6603252
Berlin,52.5173885,13.3951309
Wiener Neustadt,47.8131847,16.2441166
Offenbach,50.1055002,8.7610698
Eberbach,48.9273858,8.066278
Görlitz,51.1563185,14.991018
Pfedelbach,49.1781,9.505
Unterhaching,48.0662249,11.6102245
Burghausen,48.1588645,12.8329419
Saalfelden am Steinernen Meer,47.4266166,12.8481048
Dresden,51.0493286,13.7381437
Tomé-Açu,-2.4166306,-48.1522907
Kassel,51.3157833,9.4978479
Wenzenbach,49.0768866,12.1980173
Merseburg,51.3564413,11.996148
Gommern,52.0739555,11.8307231
Pommelsbrunn,49.5046383,11.5078943
Duisburg,51.434999,6.759562
Herzogenrath,50.8684545,6.0950514
Schwandorf in Bayern,49.2500158,12.3078205
Mainz,49.9995205,8.2736253
Podskalie,49.0444247,18.4544481
Zinnowitz,54.076647,13.9089471
Quedlinburg,51.7855428,11.1519933
Wolfsburg,52.4205588,10.7861682
Weilburg,50.4847448,8.2659245
Dillenburg,50.75211,8.31573
Neu-Ulm,48.3953489,10.0005211
Bern,46.9484742,7.4521749
Bonn,50.7352621,7.1024635
Riedstadt,49.8425212,8.4829447
Rosenheim,47.8539273,12.127262
Mönchengladbach,51.1947131,6.4353792
Neuburg an der Donau,48.7371951,11.1795268
Rostock,54.0886707,12.1400211
Bad Oeynhausen,52.2014399,8.7981244
Chemnitz,50.8323531,12.918914
Diez de Octubre,23.0906778,-82.3654483
Nürnberg,49.453872,11.077298
Laubach,48.8823201,7.7203596
Düren,50.8031684,6.4820806
Düsseldorf,51.2254018,6.7763137
Zwickau,50.7185043,12.4939267
Bremen,53.0758196,8.8071646
Halle,51.4824354,11.9712985
Erba,45.8097196,9.2166985
Jünkerath,50.3472096,6.5720946
Magdeburg,52.1314783,11.6400789
Celle,52.624056,10.081052
Germering,48.1373576,11.3614338
Kleve,51.7895571,6.1376008
